Position,Date,Team,Inning,Batter,Batter_hand,Bounds,Start_area,Catch_area,Catch_pos,Backhand,Throw_area,Throw_to,Throw_time,Throw_direction,Throw_pos,Catch_success,Throw_success,Situation,Note_1,Note_2
유격수,2023.5.2,LG,4,박동원,우,5,3유간흙,3유간흙,발목,Yes,3유간흙,2루,0.75,오른쪽,무릎,성공,성공,땅볼,다이빙캐치,
유격수,2023.5.2,LG,7,박해민,좌,0,유격수정면,2루베이스앞,얼굴,No,,,,,,성공,,땅볼,,
유격수,2023.5.2,LG,8,,,0,유격수정면,2루베이스앞,얼굴,No,,,,,,성공,,도루저지,,
유격수,2023.5.3,LG,5,문성주,좌,0,유격수정면,외야,머리위,Yes,,,,,,실패,,포구실책,뜬공처리미스,
유격수,2023.5.3,LG,5,홍창기,좌,0,유격수정면,2루베이스앞,얼굴,No,2루베이스앞,1루,0.63,정면,가슴,성공,성공,병살타,,
유격수,2023.5.9,KT,5,이시원,좌,0,유격수정면,2루베이스앞,가슴,No,2루베이스앞,1루,0.53,정면,무릎,성공,성공,땅볼,,
유격수,2023.5.9,KT,6,박경수,우,2,유격수정면,유격수정면,발목,No,2루베이스뒤,1루,0.73,왼쪽,무릎,성공,성공,땅볼,,
유격수,2023.5.9,KT,6,손민석,좌,0,2루베이스뒤,2루베이스앞,얼굴,No,,,,,,성공,,땅볼,,
2루수,2023.5.9,KT,7,이시원,좌,0,2루정면,2루베이스앞,가슴,No,2루베이스앞,1루,0.52,왼쪽,가슴,성공,성공,땅볼,,
2루수,2023.5.9,KT,9,김병희,우,0,2루정면,2루베이스앞,가슴,No,,,,,,성공,,땅볼,,
유격수,2023.5.10,KT,4,알포드,우,6,유격수정면,3유간흙,발목,No,3유간흙,2루,0.51,정면,가슴,성공,성공,땅볼,,
유격수,2023.5.10,KT,4,박경수,우,1,3유간흙,3유간흙,발목,Yes,3유간흙,1루,1.35,정면,무릎,성공,성공,땅볼,숏바운드처리,
유격수,2023.5.11,KT,1,알포드,우,5,유격수정면,유격수정면,발목,No,유격수정면,2루,0.46,정면,가슴,성공,성공,병살타,언더토스,
유격수,2023.5.11,KT,6,손민석,좌,2,2루베이스뒤,2루베이스뒤,발목,No,2루베이스뒤,1루,0.73,정면,무릎,성공,성공,땅볼,시프트,
유격수,2023.5.11,KT,6,알포드,우,4,유격수정면,2루베이스뒤,발목,No,2루베이스뒤,1루,1.08,오른쪽,무릎,성공,성공,땅볼,다이빙캐치,
유격수,2023.5.11,KT,9,장성우,우,5,유격수정면,유격수정면,발목,No,유격수정면,1루,1.44,정면,허리,성공,성공,땅볼,,
유격수,2023.5.12,키움,6,김동헌,우,0,유격수정면,2루베이스앞,머리위,No,,,,,,실패,,포구실책,주자와부딪침,
유격수,2023.5.12,키움,1,박찬혁,우,0,유격수정면,2루베이스앞,머리위,No,2루베이스앞,1루,0.71,정면,무릎,성공,성공,땅볼,병살타실패땅볼,
유격수,2023.5.12,키움,2,김동헌,우,1,유격수정면,3유간흙,발목,No,3유간흙,2루,0.45,오른쪽,가슴,실패,성공,땅볼,고의낙구,
유격수,2023.5.12,키움,3,이원석,우,0,유격수정면,2루베이스앞,가슴,No,,,,,,성공,,땅볼,,
유격수,2023.5.12,키움,5,이원석,우,3,유격수정면,3유간흙,발목,No,3유간흙,2루,0.57,정면,가슴,성공,성공,땅볼,,
유격수,2023.5.12,키움,6,임지열,우,3,유격수정면,3유간흙,발목,No,3유간흙,1루,1.25,정면,허리,성공,성공,땅볼,,
유격수,2023.5.13,키움,3,러셀,우,0,유격수정면,외야,머리위,No,외야,홈,0.7,정면,발목,성공,성공,중계,외야중계플레이,
